#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Sep 26 16:18:20 2017
#_Number_of_datafiles: 1
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2015-04-27 21:23:15
#_observed data: 
#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
1876 #_StartYr
2014 #_EndYr
1 #_Nseas
 12 #_months/season
2 #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
40 #_Nages=accumulator age
1 #_Nareas
7 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 0.16 1 1 0 WinterN  # 1
 1 0.67 1 1 0 SummerN  # 2
 1 0.16 1 1 0 WinterS  # 3
 1 0.67 1 1 0 SummerS  # 4
 3 0.73 1 2 0 TriEarly  # 5
 3 0.67 1 2 0 TriLate  # 6
 3 0.67 1 2 0 NWFSC  # 7
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
1936 1 1 15.88 0.01
1937 1 1 19.75 0.01
1938 1 1 27.49 0.01
1939 1 1 35.22 0.01
1940 1 1 39.09 0.01
1941 1 1 41.4 0.01
1942 1 1 46 0.01
1943 1 1 50.61 0.01
1944 1 1 55.21 0.01
1945 1 1 59.82 0.01
1946 1 1 64.43 0.01
1947 1 1 69.03 0.01
1948 1 1 73.64 0.01
1949 1 1 75.94 0.01
1950 1 1 156.21 0.01
1951 1 1 117.97 0.01
1952 1 1 131.01 0.01
1953 1 1 46.07 0.01
1954 1 1 26.56 0.01
1955 1 1 57.14 0.01
1956 1 1 137.251 0.01
1957 1 1 170.947 0.01
1958 1 1 99.18 0.01
1959 1 1 332.103 0.01
1960 1 1 240.868 0.01
1961 1 1 216.656 0.01
1962 1 1 294.855 0.01
1963 1 1 663.294 0.01
1964 1 1 282.319 0.01
1965 1 1 370.455 0.01
1966 1 1 366.063 0.01
1967 1 1 408.625 0.01
1968 1 1 284.404 0.01
1969 1 1 190.34 0.01
1970 1 1 411.706 0.01
1971 1 1 742.624 0.01
1972 1 1 730.423 0.01
1973 1 1 497.47 0.01
1974 1 1 516.994 0.01
1975 1 1 538.952 0.01
1976 1 1 505.729 0.01
1977 1 1 682.084 0.01
1978 1 1 746.25 0.01
1979 1 1 734.309 0.01
1980 1 1 382.498 0.01
1981 1 1 760.671 0.01
1982 1 1 1041.18 0.01
1983 1 1 696.317 0.01
1984 1 1 415.773 0.01
1985 1 1 392.131 0.01
1986 1 1 474.121 0.01
1987 1 1 854.042 0.01
1988 1 1 742.9 0.01
1989 1 1 695.992 0.01
1990 1 1 640.655 0.01
1991 1 1 792.584 0.01
1992 1 1 639.526 0.01
1993 1 1 685.385 0.01
1994 1 1 518.127 0.01
1995 1 1 591.366 0.01
1996 1 1 591.033 0.01
1997 1 1 621.054 0.01
1998 1 1 522.143 0.01
1999 1 1 463.344 0.01
2000 1 1 610.157 0.01
2001 1 1 691.412 0.01
2002 1 1 666.972 0.01
2003 1 1 544.484 0.01
2004 1 1 1009.91 0.01
2005 1 1 963.682 0.01
2006 1 1 537.446 0.01
2007 1 1 930.384 0.01
2008 1 1 842.461 0.01
2009 1 1 846.71 0.01
2010 1 1 258.086 0.01
2011 1 1 221.604 0.01
2012 1 1 406.049 0.01
2013 1 1 509.042 0.01
2014 1 1 852.898 0.01
-999 1 2 0 0.01
1876 1 2 0 0.01
1877 1 2 0 0.01
1878 1 2 0 0.01
1879 1 2 0 0.01
1880 1 2 0 0.01
1881 1 2 0 0.01
1882 1 2 0 0.01
1883 1 2 0 0.01
1884 1 2 0 0.01
1885 1 2 0 0.01
1886 1 2 0 0.01
1887 1 2 0 0.01
1888 1 2 0 0.01
1889 1 2 0 0.01
1890 1 2 0 0.01
1891 1 2 0 0.01
1892 1 2 0 0.01
1893 1 2 0 0.01
1894 1 2 0 0.01
1895 1 2 0 0.01
1896 1 2 0.242 0.01
1897 1 2 0.198 0.01
1898 1 2 0.154 0.01
1899 1 2 0.15 0.01
1900 1 2 0.146 0.01
1901 1 2 0.142 0.01
1902 1 2 0.138 0.01
1903 1 2 0.133 0.01
1904 1 2 0.129 0.01
1905 1 2 0.125 0.01
1906 1 2 0.121 0.01
1907 1 2 0.117 0.01
1908 1 2 0.113 0.01
1909 1 2 0.108 0.01
1910 1 2 0.104 0.01
1911 1 2 0.1 0.01
1912 1 2 0.096 0.01
1913 1 2 0.092 0.01
1914 1 2 0.088 0.01
1915 1 2 0.083 0.01
1916 1 2 0.079 0.01
1917 1 2 0.075 0.01
1918 1 2 0.071 0.01
1919 1 2 0.067 0.01
1920 1 2 0.063 0.01
1921 1 2 0.058 0.01
1922 1 2 0.054 0.01
1923 1 2 0.05 0.01
1924 1 2 0.046 0.01
1925 1 2 0.042 0.01
1926 1 2 0.038 0.01
1927 1 2 0.035 0.01
1928 1 2 0.0005 0.01
1929 1 2 1.542 0.01
1930 1 2 1.225 0.01
1931 1 2 81.451 0.01
1932 1 2 250.878 0.01
1933 1 2 408.431 0.01
1934 1 2 567.855 0.01
1935 1 2 649.957 0.01
1936 1 2 769.786 0.01
1937 1 2 1051.41 0.01
1938 1 2 1186.87 0.01
1939 1 2 1544.54 0.01
1940 1 2 1736.58 0.01
1941 1 2 1802.66 0.01
1942 1 2 2919.25 0.01
1943 1 2 2867.3 0.01
1944 1 2 2046.97 0.01
1945 1 2 1866.05 0.01
1946 1 2 2492.36 0.01
1947 1 2 1777.99 0.01
1948 1 2 2314.74 0.01
1949 1 2 1808.64 0.01
1950 1 2 2322.24 0.01
1951 1 2 1665.62 0.01
1952 1 2 1390.43 0.01
1953 1 2 737.103 0.01
1954 1 2 903.363 0.01
1955 1 2 862.592 0.01
1956 1 2 759.217 0.01
1957 1 2 1103.29 0.01
1958 1 2 1152.19 0.01
1959 1 2 946.779 0.01
1960 1 2 1374.2 0.01
1961 1 2 1546.63 0.01
1962 1 2 1511.89 0.01
1963 1 2 1038.41 0.01
1964 1 2 1090.04 0.01
1965 1 2 950.391 0.01
1966 1 2 971.694 0.01
1967 1 2 793.421 0.01
1968 1 2 810.617 0.01
1969 1 2 887.299 0.01
1970 1 2 1081.31 0.01
1971 1 2 882.607 0.01
1972 1 2 1016.88 0.01
1973 1 2 1271.83 0.01
1974 1 2 1610.53 0.01
1975 1 2 1559.16 0.01
1976 1 2 951.117 0.01
1977 1 2 742.771 0.01
1978 1 2 1097.75 0.01
1979 1 2 1085.56 0.01
1980 1 2 976.23 0.01
1981 1 2 467.912 0.01
1982 1 2 770.688 0.01
1983 1 2 935.345 0.01
1984 1 2 739.012 0.01
1985 1 2 552.894 0.01
1986 1 2 714.443 0.01
1987 1 2 572.666 0.01
1988 1 2 610.432 0.01
1989 1 2 583.013 0.01
1990 1 2 459.82 0.01
1991 1 2 397.337 0.01
1992 1 2 365.974 0.01
1993 1 2 392.08 0.01
1994 1 2 355.428 0.01
1995 1 2 453.922 0.01
1996 1 2 439.746 0.01
1997 1 2 430.036 0.01
1998 1 2 577.351 0.01
1999 1 2 504.248 0.01
2000 1 2 585.531 0.01
2001 1 2 596.985 0.01
2002 1 2 713.85 0.01
2003 1 2 713.444 0.01
2004 1 2 749.507 0.01
2005 1 2 1068.76 0.01
2006 1 2 1011.62 0.01
2007 1 2 536.108 0.01
2008 1 2 353.816 0.01
2009 1 2 641.747 0.01
2010 1 2 292.343 0.01
2011 1 2 423.105 0.01
2012 1 2 477.707 0.01
2013 1 2 1007.26 0.01
2014 1 2 860.309 0.01
-999 1 3 0 0.01
1876 1 3 0 0.01
1877 1 3 0 0.01
1878 1 3 0 0.01
1879 1 3 0 0.01
1880 1 3 0 0.01
1881 1 3 0 0.01
1882 1 3 0 0.01
1883 1 3 0 0.01
1884 1 3 0 0.01
1885 1 3 0 0.01
1886 1 3 0 0.01
1887 1 3 0 0.01
1888 1 3 0 0.01
1889 1 3 0 0.01
1890 1 3 0 0.01
1891 1 3 0 0.01
1892 1 3 0 0.01
1893 1 3 0 0.01
1894 1 3 0 0.01
1895 1 3 0 0.01
1896 1 3 0 0.01
1897 1 3 0 0.01
1898 1 3 0 0.01
1899 1 3 0 0.01
1900 1 3 0 0.01
1901 1 3 0 0.01
1902 1 3 0 0.01
1903 1 3 0 0.01
1904 1 3 0 0.01
1905 1 3 0 0.01
1906 1 3 0 0.01
1907 1 3 0 0.01
1908 1 3 0 0.01
1909 1 3 0 0.01
1910 1 3 0 0.01
1911 1 3 0 0.01
1912 1 3 0 0.01
1913 1 3 0 0.01
1914 1 3 0 0.01
1915 1 3 0 0.01
1916 1 3 0 0.01
1917 1 3 0 0.01
1918 1 3 0 0.01
1919 1 3 0 0.01
1920 1 3 0 0.01
1921 1 3 0 0.01
1922 1 3 0 0.01
1923 1 3 0 0.01
1924 1 3 0 0.01
1925 1 3 0 0.01
1926 1 3 0 0.01
1927 1 3 0 0.01
1928 1 3 0 0.01
1929 1 3 0 0.01
1930 1 3 0 0.01
1931 1 3 63.393 0.01
1932 1 3 36.396 0.01
1933 1 3 38.566 0.01
1934 1 3 139.408 0.01
1935 1 3 155.383 0.01
1936 1 3 95.492 0.01
1937 1 3 74.525 0.01
1938 1 3 47.86 0.01
1939 1 3 30.839 0.01
1940 1 3 161.807 0.01
1941 1 3 110.81 0.01
1942 1 3 24.368 0.01
1943 1 3 71.659 0.01
1944 1 3 85.53 0.01
1945 1 3 101.753 0.01
1946 1 3 71.912 0.01
1947 1 3 153.68 0.01
1948 1 3 272.662 0.01
1949 1 3 616.958 0.01
1950 1 3 424.238 0.01
1951 1 3 208.45 0.01
1952 1 3 326.309 0.01
1953 1 3 533.36 0.01
1954 1 3 800.58 0.01
1955 1 3 525.579 0.01
1956 1 3 508.296 0.01
1957 1 3 527.212 0.01
1958 1 3 567.972 0.01
1959 1 3 379.043 0.01
1960 1 3 519.638 0.01
1961 1 3 542.056 0.01
1962 1 3 514.912 0.01
1963 1 3 534.032 0.01
1964 1 3 377.62 0.01
1965 1 3 373.691 0.01
1966 1 3 324.878 0.01
1967 1 3 532.275 0.01
1968 1 3 360.61 0.01
1969 1 3 421 0.01
1970 1 3 472 0.01
1971 1 3 540 0.01
1972 1 3 703 0.01
1973 1 3 417 0.01
1974 1 3 665 0.01
1975 1 3 561 0.01
1976 1 3 713 0.01
1977 1 3 484 0.01
1978 1 3 419 0.01
1979 1 3 353 0.01
1980 1 3 518 0.01
1981 1 3 359.662 0.01
1982 1 3 261.527 0.01
1983 1 3 272.602 0.01
1984 1 3 259.829 0.01
1985 1 3 273.264 0.01
1986 1 3 402.91 0.01
1987 1 3 311.09 0.01
1988 1 3 349.106 0.01
1989 1 3 392.604 0.01
1990 1 3 319.426 0.01
1991 1 3 448.01 0.01
1992 1 3 271.705 0.01
1993 1 3 237.092 0.01
1994 1 3 245.861 0.01
1995 1 3 235.561 0.01
1996 1 3 405.922 0.01
1997 1 3 447.633 0.01
1998 1 3 220.734 0.01
1999 1 3 286.802 0.01
2000 1 3 373.622 0.01
2001 1 3 308.335 0.01
2002 1 3 335.16 0.01
2003 1 3 256.21 0.01
2004 1 3 177.237 0.01
2005 1 3 337.181 0.01
2006 1 3 125.283 0.01
2007 1 3 404.351 0.01
2008 1 3 519.444 0.01
2009 1 3 469.659 0.01
2010 1 3 77.602 0.01
2011 1 3 39.585 0.01
2012 1 3 124.46 0.01
2013 1 3 130.1 0.01
2014 1 3 273.404 0.01
-999 1 4 0 0.01
1876 1 4 1 0.01
1877 1 4 1 0.01
1878 1 4 1 0.01
1879 1 4 1 0.01
1880 1 4 11.55 0.01
1881 1 4 22.1 0.01
1882 1 4 32.65 0.01
1883 1 4 43.2 0.01
1884 1 4 53.75 0.01
1885 1 4 64.3 0.01
1886 1 4 74.85 0.01
1887 1 4 85.4 0.01
1888 1 4 95.95 0.01
1889 1 4 106.5 0.01
1890 1 4 117.05 0.01
1891 1 4 127.6 0.01
1892 1 4 138.15 0.01
1893 1 4 148.71 0.01
1894 1 4 159.26 0.01
1895 1 4 169.81 0.01
1896 1 4 180.36 0.01
1897 1 4 190.91 0.01
1898 1 4 201.46 0.01
1899 1 4 212.01 0.01
1900 1 4 222.56 0.01
1901 1 4 233.11 0.01
1902 1 4 243.66 0.01
1903 1 4 254.21 0.01
1904 1 4 264.76 0.01
1905 1 4 275.31 0.01
1906 1 4 285.86 0.01
1907 1 4 296.41 0.01
1908 1 4 306.96 0.01
1909 1 4 317.51 0.01
1910 1 4 328.06 0.01
1911 1 4 338.61 0.01
1912 1 4 349.16 0.01
1913 1 4 359.71 0.01
1914 1 4 370.26 0.01
1915 1 4 380.81 0.01
1916 1 4 386.42 0.01
1917 1 4 526.41 0.01
1918 1 4 423.85 0.01
1919 1 4 333.44 0.01
1920 1 4 230.49 0.01
1921 1 4 293.76 0.01
1922 1 4 424.78 0.01
1923 1 4 427.36 0.01
1924 1 4 532.86 0.01
1925 1 4 528.47 0.01
1926 1 4 521.67 0.01
1927 1 4 632.04 0.01
1928 1 4 620.09 0.01
1929 1 4 706.04 0.01
1930 1 4 658.83 0.01
1931 1 4 530.879 0.01
1932 1 4 519.912 0.01
1933 1 4 392.08 0.01
1934 1 4 896.363 0.01
1935 1 4 777.206 0.01
1936 1 4 431.506 0.01
1937 1 4 741.046 0.01
1938 1 4 890 0.01
1939 1 4 1028.96 0.01
1940 1 4 596.696 0.01
1941 1 4 331.166 0.01
1942 1 4 215.556 0.01
1943 1 4 344.717 0.01
1944 1 4 446.913 0.01
1945 1 4 439.343 0.01
1946 1 4 1115.57 0.01
1947 1 4 1092.65 0.01
1948 1 4 1778.02 0.01
1949 1 4 1812.18 0.01
1950 1 4 1638.09 0.01
1951 1 4 992.794 0.01
1952 1 4 881.699 0.01
1953 1 4 981.167 0.01
1954 1 4 1073.4 0.01
1955 1 4 1051.74 0.01
1956 1 4 800.73 0.01
1957 1 4 1027.18 0.01
1958 1 4 957.288 0.01
1959 1 4 723.17 0.01
1960 1 4 643.737 0.01
1961 1 4 1028.73 0.01
1962 1 4 859.369 0.01
1963 1 4 977.639 0.01
1964 1 4 926.798 0.01
1965 1 4 852.882 0.01
1966 1 4 924.626 0.01
1967 1 4 874.079 0.01
1968 1 4 870.757 0.01
1969 1 4 848 0.01
1970 1 4 1071 0.01
1971 1 4 1016 0.01
1972 1 4 1000 0.01
1973 1 4 742 0.01
1974 1 4 893 0.01
1975 1 4 901 0.01
1976 1 4 737 0.01
1977 1 4 495 0.01
1978 1 4 801 0.01
1979 1 4 945 0.01
1980 1 4 680 0.01
1981 1 4 895.219 0.01
1982 1 4 502.068 0.01
1983 1 4 361.119 0.01
1984 1 4 328.989 0.01
1985 1 4 471.129 0.01
1986 1 4 355.056 0.01
1987 1 4 556.08 0.01
1988 1 4 411.035 0.01
1989 1 4 414.732 0.01
1990 1 4 372.68 0.01
1991 1 4 310.117 0.01
1992 1 4 307.26 0.01
1993 1 4 233.985 0.01
1994 1 4 299.406 0.01
1995 1 4 287.425 0.01
1996 1 4 393.942 0.01
1997 1 4 442.278 0.01
1998 1 4 300.458 0.01
1999 1 4 266.643 0.01
2000 1 4 241.46 0.01
2001 1 4 260.295 0.01
2002 1 4 195.115 0.01
2003 1 4 179.67 0.01
2004 1 4 267.16 0.01
2005 1 4 533.414 0.01
2006 1 4 453.537 0.01
2007 1 4 474.864 0.01
2008 1 4 414.024 0.01
2009 1 4 250.379 0.01
2010 1 4 120.952 0.01
2011 1 4 77.704 0.01
2012 1 4 107.634 0.01
2013 1 4 278.346 0.01
2014 1 4 354.186 0.01
-9999 0 0 0 0
#
 #_CPUE_and_surveyabundance_observations
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet Units Errtype SD_Report
1 1 0 0 # WinterN
2 1 0 0 # SummerN
3 1 0 0 # WinterS
4 1 0 0 # SummerS
5 1 0 0 # TriEarly
6 1 0 0 # TriLate
7 1 0 0 # NWFSC
#_yr month fleet obs stderr
1987 2.92 1 1.091 0.275191 #_ WinterN
1988 2.92 1 1.155 0.273075 #_ WinterN
1989 2.92 1 0.918 0.273327 #_ WinterN
1990 2.92 1 0.759 0.27507 #_ WinterN
1991 2.92 1 0.86 0.272922 #_ WinterN
1992 2.92 1 0.556 0.277838 #_ WinterN
1993 2.92 1 0.561 0.273409 #_ WinterN
1994 2.92 1 0.503 0.281295 #_ WinterN
1995 2.92 1 0.66 0.280044 #_ WinterN
1996 2.92 1 0.767 0.28787 #_ WinterN
1997 2.92 1 0.85 0.28153 #_ WinterN
1998 2.92 1 1.009 0.289773 #_ WinterN
1999 2.92 1 0.714 0.286685 #_ WinterN
2000 2.92 1 0.674 0.277475 #_ WinterN
2001 2.92 1 0.83 0.27463 #_ WinterN
2002 2.92 1 0.93 0.276637 #_ WinterN
2003 2.92 1 1.018 0.275366 #_ WinterN
2004 2.92 1 1.629 0.280272 #_ WinterN
2005 2.92 1 1.853 0.276295 #_ WinterN
2006 2.92 1 2.007 0.28246 #_ WinterN
2007 2.92 1 2.045 0.275886 #_ WinterN
2008 2.92 1 1.955 0.274807 #_ WinterN
2009 2.92 1 2.118 0.272303 #_ WinterN
1987 2.92 3 1.08 0.557798 #_ WinterS
1988 2.92 3 0.908 0.32551 #_ WinterS
1989 2.92 3 0.533 0.434469 #_ WinterS
1990 2.92 3 0.963 0.455101 #_ WinterS
1991 2.92 3 0.895 0.35936 #_ WinterS
1992 2.92 3 0.592 0.678343 #_ WinterS
1993 2.92 3 0.863 0.353332 #_ WinterS
1994 2.92 3 0.713 0.302924 #_ WinterS
1995 2.92 3 0.9 0.299521 #_ WinterS
1996 2.92 3 1.25 0.304861 #_ WinterS
1997 2.92 3 0.817 0.277278 #_ WinterS
1998 2.92 3 0.933 0.306219 #_ WinterS
1999 2.92 3 0.831 0.285779 #_ WinterS
2000 2.92 3 0.618 0.288425 #_ WinterS
2001 2.92 3 0.663 0.286839 #_ WinterS
2002 2.92 3 0.799 0.285013 #_ WinterS
2003 2.92 3 0.847 0.286776 #_ WinterS
2004 2.92 3 1.711 0.306572 #_ WinterS
2005 2.92 3 1.929 0.28633 #_ WinterS
2006 2.92 3 1.584 0.288489 #_ WinterS
2007 2.92 3 2.068 0.284441 #_ WinterS
2008 2.92 3 1.616 0.283804 #_ WinterS
2009 2.92 3 1.765 0.280707 #_ WinterS
1980 9.76 5 1863.94 0.32881 #_ TriEarly
1983 9.76 5 2299.82 0.128134 #_ TriEarly
1986 9.76 5 2192.98 0.146227 #_ TriEarly
1989 9.76 5 3234.01 0.109135 #_ TriEarly
1992 9.76 5 2125.82 0.11671 #_ TriEarly
1995 9.04 6 2407.1 0.147947 #_ TriLate
1998 9.04 6 3547.91 0.112121 #_ TriLate
2001 9.04 6 3831.63 0.115111 #_ TriLate
2004 9.04 6 9713.25 0.140543 #_ TriLate
2003 9.04 7 18697.5 0.126186 #_ NWFSC
2004 9.04 7 22866 0.119777 #_ NWFSC
2005 9.04 7 22056.2 0.112851 #_ NWFSC
2006 9.04 7 19275.9 0.117826 #_ NWFSC
2007 9.04 7 19427.7 0.116693 #_ NWFSC
2008 9.04 7 15981.4 0.121066 #_ NWFSC
2009 9.04 7 15893.3 0.11728 #_ NWFSC
2010 9.04 7 22700.3 0.108369 #_ NWFSC
2011 9.04 7 30022.1 0.104962 #_ NWFSC
2012 9.04 7 36628.4 0.120644 #_ NWFSC
2013 9.04 7 51164.9 0.123124 #_ NWFSC
2014 9.04 7 58503.7 0.107954 #_ NWFSC
-9999 1 1 1 1 # terminator for survey observations 
#
4 #_N_fleets_with_discard
#_discard_units (1=same_as_catchunits(bio/num); 2=fraction; 3=numbers)
#_discard_errtype:  >0 for DF of T-dist(read CV below); 0 for normal with CV; -1 for normal with se; -2 for lognormal; -3 for trunc normal with CV
# note, only have units and errtype for fleets with discard 
#_Fleet units errtype
1 2 -1 # WinterN
2 2 -1 # SummerN
3 2 -1 # WinterS
4 2 -1 # SummerS
#_yr month fleet obs stderr
2007 2.92 1 0.00372386 0.00154966 #_ WinterN
2004 2.92 1 0.00141837 0.000743447 #_ WinterN
2008 2.92 1 0.0275304 0.0143707 #_ WinterN
2005 2.92 1 0.000590977 0.000112835 #_ WinterN
2002 2.92 1 0.00656655 0.00280584 #_ WinterN
2009 2.92 1 0.0273792 0.0157924 #_ WinterN
2006 2.92 1 0.0122687 0.0212815 #_ WinterN
2003 2.92 1 0.00748834 0.0186022 #_ WinterN
2010 2.92 1 0.208864 0.0544967 #_ WinterN
2011 2.92 1 0.00118098 0.0212815 #_ WinterN
2012 2.92 1 0.000636522 0.0212815 #_ WinterN
2013 2.92 1 0.000812696 0.0212815 #_ WinterN
2014 2.92 1 0.00166483 0.0212815 #_ WinterN
1985 2.92 1 0.0222 0.1103 #_ WinterN
1986 2.92 1 0.0215 0.1162 #_ WinterN
1987 2.92 1 0.027 0.1186 #_ WinterN
2004 9.04 2 0.0911296 0.0322878 #_ SummerN
2005 9.04 2 0.0404291 0.00903581 #_ SummerN
2002 9.04 2 0.211786 0.026965 #_ SummerN
2006 9.04 2 0.0784813 0.0172968 #_ SummerN
2003 9.04 2 0.145387 0.089768 #_ SummerN
2007 9.04 2 0.106987 0.0199936 #_ SummerN
2008 9.04 2 0.0536026 0.0112925 #_ SummerN
2009 9.04 2 0.20244 0.0623488 #_ SummerN
2010 9.04 2 0.0885801 0.0263902 #_ SummerN
2011 9.04 2 0.0315465 0.0212815 #_ SummerN
2012 9.04 2 0.0145219 0.0212815 #_ SummerN
2013 9.04 2 0.0230862 0.0212815 #_ SummerN
1985 9.04 2 0.0346 0.0419 #_ SummerN
1986 9.04 2 0.0343 0.0432 #_ SummerN
1987 9.04 2 0.0315 0.045 #_ SummerN
2002 2.92 3 0.0348138 0.0247339 #_ WinterS
2003 2.92 3 0.00617186 0.00256148 #_ WinterS
2004 2.92 3 0.0248565 0.0524908 #_ WinterS
2005 2.92 3 0.00610812 0.0055178 #_ WinterS
2009 2.92 3 0.021222 0.0146282 #_ WinterS
2006 2.92 3 0.0751858 0.0430007 #_ WinterS
2010 2.92 3 0.278117 0.0598055 #_ WinterS
2007 2.92 3 0.0176122 0.0138895 #_ WinterS
2008 2.92 3 0.0100923 0.00577046 #_ WinterS
2011 2.92 3 0.000884885 0.0212815 #_ WinterS
2012 2.92 3 0.00337261 0.0212815 #_ WinterS
2013 2.92 3 0.000433613 0.0212815 #_ WinterS
2014 2.92 3 5.81926e-05 0.0212815 #_ WinterS
2002 9.04 4 0.0580427 0.0158719 #_ SummerS
2009 9.04 4 0.0230283 0.0083138 #_ SummerS
2006 9.04 4 0.0378853 0.0157848 #_ SummerS
2003 9.04 4 0.0364779 0.0126047 #_ SummerS
2010 9.04 4 0.0556911 0.0116599 #_ SummerS
2007 9.04 4 0.065394 0.0212667 #_ SummerS
2004 9.04 4 0.0333454 0.0149642 #_ SummerS
2008 9.04 4 0.0262721 0.0147352 #_ SummerS
2005 9.04 4 0.0119681 0.00340229 #_ SummerS
2011 9.04 4 0.0410625 0.0212815 #_ SummerS
2012 9.04 4 0.0130622 0.0212815 #_ SummerS
2013 9.04 4 0.00442508 0.0212815 #_ SummerS
-9999 0 0 0.0 0.0 # terminator for discard data 
#
1 #_use meanbodysize_data (0/1)
30 #_DF_for_meanbodysize_T-distribution_like
# note:  use positive partition value for mean body wt, negative partition for mean body length 
#_yr month fleet part type obs stderr
2002 2.92 1 1 2 0.411027 0.438155 #_ WinterN
2003 2.92 1 1 2 0.326767 0.488988 #_ WinterN
2004 2.92 1 1 2 0.362789 0.44867 #_ WinterN
2005 2.92 1 1 2 0.310043 0.649168 #_ WinterN
2006 2.92 1 1 2 0.416909 0.529719 #_ WinterN
2007 2.92 1 1 2 0.380402 0.353525 #_ WinterN
2008 2.92 1 1 2 0.521605 0.335918 #_ WinterN
2009 2.92 1 1 2 0.416505 0.435243 #_ WinterN
